 ,Area,Mean,Min,Max
1,0.008,255,255,255
2,0.008,56.3,32,76
3,0.008,135.043,103,169
4,0.008,237.6,208,255
5,0.008,255,255,255
6,0.008,255,255,255
7,0.008,254.9,252,255
8,0.008,100.714,79,124
9,0.008,143.686,116,174
10,0.008,213.029,199,228
11,0.008,230.243,200,249
12,0.008,166.857,140,190
13,0.008,107.371,83,126
14,0.008,251.757,216,255
15,0.008,125.214,70,192
16,0.008,67.414,21,107
17,0.008,52.186,11,105
18,0.008,36.329,15,61
19,0.008,110.243,49,170
20,0.008,176.2,158,199
21,0.008,112.329,93,134
22,0.008,79.243,58,101
23,0.008,56.1,46,73
24,0.008,54.771,37,76
25,0.008,73.5,50,96
26,0.008,255,255,255
27,0.008,255,255,255
28,0.008,255,255,255
29,0.008,255,255,255
30,0.008,255,255,255
31,0.008,255,255,255
32,0.008,255,255,255
33,0.008,253.657,238,255
34,0.008,253.871,233,255
35,0.008,223.871,192,245
36,0.008,166.157,127,185
37,0.008,87.314,65,113
