Enzyme,Specific growth rate,Intensity,Specific_growth_rate,Intensity ratio
aceA (isocitrate lyase),a,56.3,0.6,0.2
aceA (isocitrate lyase),b,135,0.5,0.5
aceA (isocitrate lyase),c,237.6,0.4,0.9
aceA (isocitrate lyase),d,255,0.3,1.0
aceA (isocitrate lyase),e,255,0.2,1.0
aceA (isocitrate lyase),f,254.9,0.1,1.0
acs (acetyl-CoA synthetase),a,100.7,0.6,0.4
acs (acetyl-CoA synthetase),b,143.7,0.5,0.6
acs (acetyl-CoA synthetase),c,213,0.4,0.8
acs (acetyl-CoA synthetase),d,230.2,0.3,0.9
acs (acetyl-CoA synthetase),e,166.9,0.2,0.7
acs (acetyl-CoA synthetase),f,107.4,0.1,0.4
ackA (acetate kinase),a,251.8,0.6,1.0
ackA (acetate kinase),b,125.2,0.5,0.5
ackA (acetate kinase),c,67.4,0.4,0.3
ackA (acetate kinase),d,52.2,0.3,0.2
ackA (acetate kinase),e,36.3,0.2,0.1
ackA (acetate kinase),f,110.2,0.1,0.4
pta (phosphotransacetylase),a,176.2,0.6,0.7
pta (phosphotransacetylase),b,112.3,0.5,0.4
pta (phosphotransacetylase),c,79.2,0.4,0.3
pta (phosphotransacetylase),d,56.1,0.3,0.2
pta (phosphotransacetylase),e,54.8,0.2,0.2
pta (phosphotransacetylase),f,73.5,0.1,0.3
pckA (pyruvate carboxykinase),a,255,0.6,1.0
pckA (pyruvate carboxykinase),b,255,0.5,1.0
pckA (pyruvate carboxykinase),c,255,0.4,1.0
pckA (pyruvate carboxykinase),d,255,0.3,1.0
pckA (pyruvate carboxykinase),e,255,0.2,1.0
pckA (pyruvate carboxykinase),f,255,0.1,1.0
aceE (pyruvate dehydrogenase),a,255,0.6,1.0
aceE (pyruvate dehydrogenase),b,253.7,0.5,1.0
aceE (pyruvate dehydrogenase),c,253.9,0.4,1.0
aceE (pyruvate dehydrogenase),d,223.9,0.3,0.9
aceE (pyruvate dehydrogenase),e,166.2,0.2,0.7
aceE (pyruvate dehydrogenase),f,87.3,0.1,0.3
